id,InstitutionName,Country,Year,total
9017,Universidad Politecnica de Cartagena,Spain,2014,8
9018,Universidad Regiomontana A.C.,Mexico,2016,8
9019,Universidad Torcuato Di Tella,Argentina,2014,8
9020,Universidad de Los Andes - Sistema de Bibliotecas,Colombia,2016,8
9021,Universidad de Puerto Rico,United States,2015,8
9022,Universidad de Santander - UDES,Colombia,2016,8
9023,Universidade Est<U+00E1>cio de S<U+00E1>,Brazil,2016,8
9024,Universidade Federal Da,Brazil,2015,8
9025,Universidade Federal Rural da Amaz<U+00F4>nia,Brazil,2016,8
9026,Universidade Federal do Vale de S<U+00E3>o Francisco,Brazil,2015,8
9027,University of Economics - Varna,Bulgaria,2016,8
9028,University of Hartford,United States,2014,8
9029,University of Lapland,Finland,2015,8
9030,University of Sindh,Pakistan,2016,8
9031,Unknown,Costa Rica,2015,8
9032,Unknown,United States,2016,8
9033,Ursinus College,United States,2015,8
9034,Volvo Group Trucks,Sweden,2015,8
9035,Washington College - Miller Library,United States,2014,8
9036,Wenzhou University,China - People<U+2019>s Republic,2016,8
9037,Wydzial Zarzadania AGH,Poland,2015,8
9038,Zanzibar Institute of Financial Administration,Tanzania - United Republic of,2015,8
9039,pharmaSuisse,Switzerland,2014,8
9040,AMG National Trust,United States,2015,7
9041,AbbVie Inc.,United States,2015,7
9042,Africa Nazarene University,Kenya,2015,7
9043,Africa Nazarene University,Kenya,2016,7
9044,Al-Beroni University,Afghanistan,2016,7
9045,Albertina icome Bratislava,Slovak Republic,2014,7
9046,Ardhi University,Tanzania - United Republic of,2014,7
9047,Association of Finnish Local & Regional Authorities,Finland,2014,7
9048,AstraZeneca,United Kingdom,2016,7
9049,Austin College,United States,2015,7
9050,Autoridad Regulatoria Nuclear,Argentina,2016,7
9051,Bain and Company,France,2014,7
9052,Bayerische Landesbank,Germany,2014,7
9053,Beijing University of Chemical Technology,China - People<U+2019>s Republic,2015,7
9054,Bellevue Comm Coll,United States,2016,7
9055,Boston Scientific,United States,2014,7
9056,Bridgewater Associates LP,United States,2016,7
9057,Brookhaven National Laboratory,United States,2015,7
9058,Bundesverband deutscher Banken,Germany,2015,7
9059,Bunkyo Gakuin Daigaku Gaikokugo Gakubu,Japan,2016,7
9060,CEA - Center for Economic Analyses,Former Yugoslav Republic of Macedonia (FYROM),2016,7
9061,CHSRF,Canada,2014,7
9062,CN INVESTMENT DIVISION - LIBRARY,Canada,2016,7
9063,COAST INSTITUTE OF TECHNOLOGY,Kenya,2016,7
9064,California State University -,United States,2016,7
9065,Centro Cultural de Belem,Portugal,2014,7
9066,Centro Europa Ricerche,Italy,2015,7
9067,Centro Europa Ricerche,Italy,2016,7
9068,Centro de Desenvolvimento da Tecnologia Nuclear,Brazil,2014,7
9069,Centro de Desenvolvimento da Tecnologia Nuclear,Brazil,2015,7
9070,Chang Jung Christian University,Chinese Taipei,2016,7
9071,Clarion University of Pennsylvania,United States,2016,7
9072,CoInfo,Australia,2015,7
9073,Czech National Bank - Ceska Narodni Banka,Czech Republic,2016,7
9074,Desjardins Group - Econ Studies,Canada,2015,7
9075,Drake University,United States,2014,7
9076,ENERDATA,France,2015,7
9077,Ex Libris Data Services,Israel,2016,7
9078,Faculdade Federal de Medicina do Tri<U+00E2>ngulo Mineiro,Brazil,2014,7
9079,Fafo,Norway,2014,7
9080,Finanstilsynet - Biblioteket,Norway,2015,7
9081,Finnish Competition and Consumer Authority - FCCA,Finland,2014,7
9082,Fore School of Management,India,2015,7
9083,Fraunhofer-Institut f<U+00FC>r Elektronische Nanosysteme,Germany,2016,7
9084,Fraunhofer-Institut f<U+00FC>r Materialfluss und Logistik,Germany,2014,7
9085,Fraunhofer-Institut f<U+00FC>r Solare Energiesysteme ISE,Germany,2014,7
9086,Fraunhofer-Institut f<U+00FC>r Verfahrenstechnik und Verpackung IVV,Germany,2015,7
9087,Fraunhofer-Institut f<U+00FC>r Werkzeugmaschinen und Umformtechnik IWU,Germany,2016,7
9088,Funda<U+00E7><U+00E3>o Ant<U+00F4>nio Prudente,Brazil,2015,7
9089,Funda<U+00E7><U+00E3>o Faculdade Federal de Ci<U+00EA>ncias M<U+00E9>dicas de Porto Aleg,Brazil,2016,7
9090,Goa University,India,2016,7
9091,Hakkari Universitesi,Turkey,2014,7
9092,Hakkari Universitesi,Turkey,2015,7
9093,Halbis Capital Management,France,2016,7
9094,Hogskolen i Finnmark,Norway,2014,7
9095,Hoso Daigaku Gakuen,Japan,2015,7
9096,ICIS Italia,Italy,2014,7
9097,ICIS Italia,Italy,2015,7
9098,ITESM - Campus Aguascalientes,Mexico,2014,7
9099,ITESM - Campus Tampico,Mexico,2015,7
9100,Indian Institute of Forest Management,India,2015,7
9101,Indian Institute of Management - Raipur,India,2014,7
9102,Innovative Interfaces Inc.,United States,2015,7
9103,Institute of Agricultural Economics and Information - UZEI,Czech Republic,2014,7
9104,Institute of Policy Studies of Sri Lanka,Sri Lanka,2014,7
9105,Instituto Federal Da Para<U+00ED>ba,Brazil,2016,7
9106,Instituto Federal do Paran<U+00E1>,Brazil,2016,7
9107,Instituto Militar de Engenharia,Brazil,2016,7
9108,Instituto Municipal de Ensino Superior de S<U+00E3>o Caetano do Sul,Brazil,2016,7
9109,Instituto de Radioprote<U+00E7><U+00E3>o e Dosimetria,Brazil,2016,7
9110,Istanbul Chamber of Commerce,Turkey,2014,7
9111,Jissen Joshi Daigaku,Japan,2016,7
9112,Jordan University,Tanzania - United Republic of,2014,7
9113,Kirinyaga University College,Kenya,2015,7
9114,Kobe City University of Foreign Studies,Japan,2014,7
9115,Kobe Gaikuin Daigaku,Japan,2015,7
9116,Korea Atomic Energy Research Institute,Korea - Republic of,2014,7
9117,Kuwait Institute for Scientific Research,Kuwait,2014,7
9118,Kyorin University,Japan,2014,7
9119,Kyoto Bunkyo University Library,Japan,2016,7
9120,L'Oreal R&I,France,2016,7
9121,Labour Maket Information Office,Canada,2016,7
9122,Lakehead University Library,Canada,2014,7
9123,Land Salzburg,Austria,2014,7
9124,Lewis & Clark College,United States,2014,7
9125,Library - CESE,Australia,2014,7
9126,Lloyds Banking Group,United Kingdom,2015,7
9127,MDIS in Tashkent,Uzbekistan,2014,7
9128,Maccabi Health Services,Israel,2014,7
9129,Maltepe Universitesi,Turkey,2014,7
9130,Marubeni Co.,Japan,2016,7
9131,Menofia University,Egypt,2015,7
9132,Ministerio de Hacienda,Chile,2014,7
9133,Ministry of Education,Ethiopia,2015,7
9134,Ministry of Foreign Affairs,Qatar,2015,7
9135,Mitsubishi Corporation Lib PE-C,Japan,2015,7
9136,Mizuho Bank / Industry Research Division,Japan,2016,7
9137,Mongolian State University of Agriculture,Mongolia,2015,7
9138,Mwenge University College of Education,Tanzania - United Republic of,2014,7
9139,N<U+00F6> Gesundheits- Und Sozialfonds,Austria,2014,7
9140,NIRA,Japan,2014,7
9141,Nanjing Audit University,China - People<U+2019>s Republic,2016,7
9142,National Defence Academy,Japan,2015,7
9143,National Institute of Sci,Japan,2016,7
9144,National Kaohsiung First Univ of Science & Technology,Chinese Taipei,2015,7
9145,National Library of the Republic of Moldova,Moldova - Republic of,2016,7
9146,National Public Prosecution Authority,Rwanda,2015,7
9147,Nemzetgazdas<U+00E1>gi Miniszt<U+00E9>rium,Hungary,2015,7
9148,Nevsehir Universitesi,Turkey,2014,7
9149,New Mexico State University,United States,2014,7
9150,Niedersaechsisches Institut fuer Wirtschaftsforschung NIW,Germany,2016,7
9151,OFS - ServiceFirst,Australia,2015,7
9152,OKAYAMA SHOKA DAIGAKU,Japan,2015,7
9153,OSAKA KEIZAI DAIGAKU,Japan,2014,7
9154,Okinawa Kokusai Daigaku,Japan,2015,7
9155,Polytechnics Canada,Canada,2016,7
9156,Purchase College,United States,2014,7
9157,Rajamangala University of Technology Phra Nakhon,Thailand,2014,7
9158,Research Institute of Brewing & Malting - RIBM,Czech Republic,2014,7
9159,Research on Poverty Alleviation (REPOA),Tanzania - United Republic of,2016,7
9160,S<U+00E9>nat,France,2015,7
9161,SULLIVAN & CROMWELL,France,2014,7
9162,Shugiin,Japan,2016,7
9163,Sncs-Fsu,France,2015,7
9164,Solusi University,Zimbabwe,2014,7
9165,Southern New Hampshire University,United States,2014,7
9166,Special Access (Trial),France,2015,7
9167,St. Mary's University College,Ethiopia,2015,7
9168,Studienzentrum Gerzensee,Switzerland,2016,7
9169,Studio Associato Piazza,Italy,2016,7
9170,TR,Switzerland,2014,7
9171,Taif University,Saudi Arabia,2015,7
9172,Texas Southern University,United States,2015,7
9173,Transport Development & Strategy Institute,Viet Nam,2015,7
9174,Transport Development & Strategy Institute,Viet Nam,2016,7
9175,Tripura University,India,2014,7
9176,Tumaini University - Dar Es Salaam College,Tanzania - United Republic of,2015,7
9177,Turpin Distribution Services,United Kingdom,2014,7
9178,UMICORE,France,2015,7
9179,Univ. Regional Integrada,Brazil,2015,7
9180,Universidad Privada Boliviana,Bolivia,2016,7
9181,Universidad Salvadore<U+00F1>a Alberto Masferrer,El Salvador,2015,7
9182,Universidade Cat<U+00F3>lica de Bras<U+00ED>lia,Brazil,2016,7
9183,Universidade Estadual de Feira de Santana,Tokelau,2016,7
9184,Universidade Federal de Engenharia de Itajub<U+00E1>,Brazil,2014,7
9185,Universidade Federal de Roraima,Brazil,2015,7
9186,Universidade de Pernambuco,Brazil,2016,7
9187,Universidade do Estado do Rio de Janeiro,Brazil,2014,7
9188,Universiti Teknikal Malaysia Melaka - UTEM,Malaysia,2014,7
9189,University of Central Lancashire,United Kingdom,2014,7
9190,University of Indianapolis,United States,2014,7
9191,University of Texas Rio Grande Valley,United States,2014,7
9192,University of Thai Chamber of Commerce,Thailand,2014,7
9193,Uniwersytet Adama Mickiewicza,Poland,2016,7
9194,Valdosta State University,United States,2014,7
9195,Vlaams Parlement - Informatheek,Belgium,2015,7
9196,Vlaamse Milieumaatschappij,Belgium,2014,7
9197,WA Department of Health,Australia,2016,7
9198,Wartburg College,United States,2014,7
9199,YTU-NDC-Yadanabon-Mandalay University,Myanmar,2016,7
9200,Yasar Universitesi,Turkey,2014,7
9201,Zhejiang University Of Technology,China - People<U+2019>s Republic,2015,7
9202,A.T. Kearney,United Kingdom,2014,6
9203,ABPI,United Kingdom,2015,6
9204,AFPICL CRD,France,2014,6
9205,AICHI GAKUIN UNIVERSITY,Japan,2014,6
9206,ANRT,France,2016,6
9207,Adani Institute Infrastructure MGMT (AIIM),India,2016,6
9208,Africa International University (AIU),Kenya,2015,6
9209,African Capacity Building Foundation,Zimbabwe,2014,6
9210,American University in Kuwait,Kuwait,2015,6
9211,Analysis Group,United States,2016,6
9212,Arbeiterkammer Oberoesterreich,Austria,2016,6
9213,Asia e University,Malaysia,2016,6
9214,Austin College,United States,2014,6
9215,Barry University,United States,2016,6
9216,Bethlehem University,Palestinian Authority,2014,6
9217,Biblioteca de la Asamblea Legislativa de El Salvador,El Salvador,2014,6
9218,Bibliotheque Universitaire Evry,France,2016,6
9219,Birzeit University,Palestinian Authority,2014,6
9220,Bulawayo Polytechnic,Zimbabwe,2015,6
9221,Bundesamt f<U+00FC>r Strahlenschutz,Germany,2015,6
9222,Bundesinstitut f<U+00FC>r Berufsbildung,Germany,2016,6
9223,Bureau of National Health Insurance,Chinese Taipei,2014,6
9224,CIEP,France,2014,6
9225,COI - Cl<U+00ED>nicas Oncol<U+00F3>gicas Integradas,Brazil,2015,6
9226,CONOCER,Mexico,2014,6
9227,Canada Health Infoway/Inforoute Sant<U+00E9> du Canada,Canada,2014,6
9228,Capio AB,Sweden,2016,6
9229,Centro de Forma<U+00E7><U+00E3>o Treinamento E Aperfei<U+00E7>oamento,Brazil,2014,6
9230,Charles Darwin University,Australia,2014,6
9231,Chongqing Technology and Business University,China - People<U+2019>s Republic,2014,6
9232,Christchurch School of Medicine - Library,New Zealand,2016,6
9233,Czech National Bank - Ceska Narodni Banka,Czech Republic,2015,6
9234,Danish Cancer Society,Denmark,2016,6
9235,Dar es Salaam University College of Education (DUCE),Tanzania - United Republic of,2015,6
9236,Databeuro,United Kingdom,2016,6
9237,Deloitte LLP,United Kingdom,2014,6
9238,Department of State Development,Australia,2015,6
9239,Der Spiegel,Germany,2015,6
9240,Dialogic,Netherlands,2014,6
9241,Dr. Salvatore at Fordham Univ,United States,2015,6
9242,DundeeWealth Economics,Canada,2015,6
9243,ECMWF,United Kingdom,2015,6
9244,ESTIIM - Engineering School Of Tourism - Informatics - Interpre,Madagascar,2015,6
9245,Emirates Center for Strategic Studies & Research,United Arab Emirates,2016,6
9246,Ernst & Young Gmbh,Germany,2014,6
9247,Evidence Ltd/Thomson Reuters,United Kingdom,2016,6
9248,FMD Services Llp,Canada,2015,6
9249,FRB Philadelphia,United States,2014,6
9250,Feri EuroRating Services AG,Germany,2015,6
9251,Firat University,Turkey,2014,6
9252,Fraunhofer Chile Research,Chile,2016,6
9253,Fraunhofer-Institut f<U+00FC>r Angewandte Polymerforschung,Germany,2014,6
9254,Fraunhofer-Institut f<U+00FC>r Fabrikbetrieb und -automatisierung,Germany,2016,6
9255,Fraunhofer-Institut f<U+00FC>r Fertigungstechnik und Angewandte Materialforschung,Germany,2016,6
9256,Fraunhofer-Institut f<U+00FC>r Windenergie und Energiesystemtechnik IWES,Germany,2016,6
9257,Fraunhofer-Institut f<U+00FC>r Windenergie und Energiesystemtechnik IWES Kassel,Germany,2014,6
9258,Gretsa University,Kenya,2016,6
9259,Guangzhou Institute of Energy Conversion - CAS,China - People<U+2019>s Republic,2015,6
9260,Hagstova Foroya,Faroe Islands,2016,6
9261,Hamad Bin Khalifa University,Qatar,2014,6
9262,Hampton University,United States,2016,6
9263,Hochschule F<U+00FC>r Angewandte Wissenschaften - Kempten,Germany,2014,6
9264,Hochschule F<U+00FC>r Nachhaltige Entwicklung Eberswalde,Germany,2014,6
9265,Hospitais Da Universidade,Portugal,2014,6
9266,IBERDROLA,Spain,2014,6
9267,ITESM - Campus Ciudad Ju<U+00E1>rez,Mexico,2014,6
9268,ITESM - Campus Cuernavaca,Mexico,2015,6
9269,Inarcassa,Italy,2015,6
9270,Indian Institute of Management - Raipur,India,2016,6
9271,Instituci<U+00F3>n Universitaria de Envigado,Colombia,2015,6
9272,Instituto Federal Goiano,Brazil,2015,6
9273,Instituto Federal de Tocantins,Brazil,2016,6
9274,Instituto Federal do Par<U+00E1>,Brazil,2016,6
9275,Instituto de Seguros de Portugal,Portugal,2014,6
9276,Integrated Polytechnic Regional Centre - IPRC East,Rwanda,2015,6
9277,Istituto Superiore sui Sistemi,Italy,2016,6
9278,Izmir Universitesi,Turkey,2016,6
9279,Janssen Pharmaceutical K.K.,Japan,2016,6
9280,Jazan University,Saudi Arabia,2016,6
9281,Jilin University of Finance and Economics,China - People<U+2019>s Republic,2016,6
9282,KUMAMOTO GAKUEN DAIGAKU,Japan,2014,6
9283,Karabuk Universitesi,Turkey,2014,6
9284,Kenya Methodist University,Kenya,2014,6
9285,Kenya National Library Services,Kenya,2016,6
9286,Knowledge and Human Development Authority,United Arab Emirates,2016,6
9287,Kobe Kokusai Daigaku,Japan,2015,6
9288,Kochi Koka Daigaku Library,Japan,2015,6
9289,Korea Institute for Industrial Econ & Trade - KIET,Korea - Republic of,2016,6
9290,Kuwait Fund for Arab,Kuwait,2015,6
9291,LEK Consulting LLP,United Kingdom,2015,6
9292,Leiden University,Netherlands,2014,6
9293,London Public Library,Canada,2015,6
9294,Lowy Institute for International Policy,Australia,2014,6
9295,M<U+00FC>nchener R<U+00FC>ckversicherung,Germany,2014,6
9296,MENA Centre for Investment - Bahrain,Bahrain,2014,6
9297,MIROS - Malaysian Institute of Road Safety Research,Malaysia,2016,6
9298,Main Roads Western Australia,Australia,2014,6
9299,Masinde Muliro University of Science and Technology,Kenya,2016,6
9300,Ministerio de Educaci<U+00F3>n,El Salvador,2016,6
9301,Ministry of Presidential Affairs,United Arab Emirates,2014,6
9302,Ministry of Presidential Affairs,United Arab Emirates,2015,6
9303,Montanuniversit<U+00E4>t Leoben,Austria,2014,6
9304,Morehead State University,United States,2016,6
9305,Nagra Info-Centre,Switzerland,2016,6
9306,National Academy of Administration - LBSNAA,India,2016,6
9307,National Council for Curriculum and Assessment,Ireland,2016,6
9308,National Library of Ireland,Ireland,2016,6
9309,Nihon Kakuzuke Kenkyujo,Japan,2016,6
9310,Nihon Kakuzuketoshi Joho Ctr,Japan,2016,6
9311,Niigata Iryo Fukushi Univ Lib,Japan,2015,6
9312,North Eastern Hill University,India,2014,6
9313,Observat<U+00F3>rio Nacional,Brazil,2016,6
9314,Oikeusministerio - OM,Finland,2015,6
9315,Ontario Medical Association,Canada,2014,6
9316,Parliament Library - Parliament of India,India,2016,6
9317,Philips Lighting BV,Netherlands,2015,6
9318,Polit<U+00E9>cnico Grancolombiano,Colombia,2014,6
9319,Politechnika Koszalinska,Poland,2015,6
9320,Pontif<U+00ED>cia Universidade Cat<U+00F3>lica de Minas Gerais,Brazil,2014,6
9321,Portucel Soporcel Group / Documentation Center,Portugal,2015,6
9322,Poverty Reduction Support,Indonesia,2014,6
9323,REITAKU UNIVERSITY LIBRARY,Japan,2014,6
9324,Richmond - the American Intl University in London,United Kingdom,2016,6
9325,SA Institute of International Affairs,South Africa,2016,6
9326,SAINT MARY'S COLLEGE LIBRARY,United States,2014,6
9327,SAPPORO GAKUIN UNIVERSITY,Japan,2016,6
9328,Sanofi Aventis Groupe,France,2014,6
9329,Sapir College,Israel,2016,6
9330,Schiller International University,Germany,2014,6
9331,Science New Zealand,New Zealand,2015,6
9332,Southern Cross University,Australia,2016,6
9333,Southern Valley University,Egypt,2016,6
9334,Suan Sunandha Rajabhat University,Thailand,2016,6
9335,Suleyman Sah Universitesi,Turkey,2016,6
9336,Sumitomo Corporation Global,Japan,2016,6
9337,TDC TELE DANMARK,Denmark,2014,6
9338,Tabouk University,Saudi Arabia,2016,6
9339,Teofilo Kisanji University,Tanzania - United Republic of,2015,6
9340,The Federation of Finnish Technology Industries,Finland,2016,6
9341,The Royal Academy,Bhutan,2016,6
9342,Thunderbird - School of Global Management,United States,2014,6
9343,Tung Wah College,China - People<U+2019>s Republic,2014,6
9344,UN UPU - Universal Postal Union,Switzerland,2015,6
9345,UNIVERSITE PARIS 12 - VAL DE MARNE,France,2015,6
9346,UNIVERSITY OF THE PACIFIC,United States,2015,6
9347,UPM-Kymmene,Finland,2014,6
9348,Umma University,Kenya,2015,6
9349,Uni Federal da Fronteira do Sul - UFFS,Brazil,2014,6
9350,Universidad Pedag<U+00F3>gica de El Salvador,El Salvador,2015,6
9351,Universidad de Los Andes de Venezuela,Venezuela,2015,6
9352,Universidad de la Costa,Colombia,2015,6
9353,Universidad de las Am<U+00E9>ricas,Chile,2014,6
9354,Universidade Federal Rural da Amaz<U+00F4>nia,Brazil,2015,6
9355,Universidade Federal de Vi<U+00E7>osa,Brazil,2014,6
9356,Universidade Federal do Amazonas,Brazil,2014,6
9357,Universidade da Integracao Intl da Lusofonia Afro Brasileira,Brazil,2015,6
9358,Universitaere Fernstudien Schweiz,Switzerland,2014,6
9359,Universitaere Fernstudien Schweiz,Switzerland,2015,6
9360,Universitatea de Stat din Moldova,Moldova - Republic of,2014,6
9361,Universite D Artois - I 894,France,2014,6
9362,Universiti Malaysia Pahang - UMP,Malaysia,2015,6
9363,Universiti Tenaga Nasional,Malaysia,2016,6
9364,University of Mindanao,Philippines,2015,6
9365,University of South Alabama,United States,2016,6
9366,University of Taipei,Chinese Taipei,2014,6
9367,Unknown,France,2015,6
9368,Vanbreda International,Belgium,2015,6
9369,Vfa,Germany,2015,6
9370,Viceministerio de Ciencia y Tecnolog<U+00ED>a,Bolivia,2014,6
9371,WTS France,France,2016,6
9372,Whitman College,United States,2015,6
9373,Yeshiva University,United States,2014,6
9374,Zhejiang Wanli College,China - People<U+2019>s Republic,2016,6
9375,ABSA,South Africa,2014,5
9376,AECID,Spain,2014,5
9377,AGRESEARCH Library,New Zealand,2014,5
9378,Agence de la Sante et Derv. Sociaux de la Monteregie,Canada,2014,5
9379,Ain Shams University,Egypt,2015,5
9380,Airbus Operation SAS,France,2015,5
9381,Alexandria University,Egypt,2015,5
9382,Ambedkar University Delhi,India,2014,5
9383,Ambedkar University Delhi,India,2016,5
9384,Ankara Sosyal Bilimler Universitesi,Turkey,2015,5
9385,Argonne National Laboratory,United States,2014,5
9386,BANCO DE MO<U+00C7>AMBIQUE,Mozambique,2016,5
9387,BCT,Tunisia,2015,5
9388,BUNKYO UNIVERSITY,Japan,2014,5
9389,BUNKYO UNIVERSITY,Japan,2016,5
9390,Baker & McKenzie LLP,Canada,2014,5
9391,Bank Al-Maghrib,Morocco,2016,5
9392,Bank of Latvia,Latvia,2015,5
9393,Banque des Etats de l'Afrique Centrale,Cameroon,2014,5
9394,Barleti Institute for Research and Development (BIRD),Albania,2016,5
9395,Bloomberg Finance Lp,United Kingdom,2016,5
9396,Boeing Company,United States,2014,5
9397,Booz & Company,Germany,2015,5
9398,Bordeaux Ecole de Management,France,2015,5
9399,Buck Consultants International,Netherlands,2016,5
9400,CONSEIL ECO SOCIAL & ENVIRONN,France,2015,5
9401,Canada Foundation for Innovation,Canada,2016,5
9402,Canada Health Infoway/Inforoute Sant<U+00E9> du Canada,Canada,2016,5
9403,Capital Group Companies,United States,2015,5
9404,Caribbean Development Bank,Barbados,2015,5
9405,Catholic University of America,United States,2014,5
9406,Catholic University of Rwanda,Rwanda,2016,5
9407,Cegep,Canada,2014,5
9408,Ceic Data Company Ltd,France,2014,5
9409,Center for Good Governance,India,2015,5
9410,Centre National Universitaire,Tunisia,2015,5
9411,Centre de Documentation,France,2016,5
9412,Chambre Des Salari<U+00E9>s,Luxembourg,2016,5
9413,Commerzbank AG,United Kingdom,2016,5
9414,Conseil Economique et Social,Luxembourg,2015,5
9415,Conseil Inter Du Vin de Bordeaux - CIVB,France,2015,5
9416,DAVIS MANAGEMENT LIMITED PARTNERSHI,Canada,2016,5
9417,DE ANDRES Y ARTI<U+00D1>ANO,Spain,2016,5
9418,Danish Cancer Society,Denmark,2014,5
9419,Dar es Salaam University College of Education (DUCE),Tanzania - United Republic of,2016,5
9420,De la Salle College of St. Benilde,Philippines,2016,5
9421,DekaBank - Deutsche Girozentrale,Germany,2014,5
9422,Demo Institute,United Kingdom,2016,5
9423,Deutsche Bank AG,Germany,2015,5
9424,ENERDATA,France,2016,5
9425,ET- EFDRE House of Federation Library,Ethiopia,2015,5
9426,Erhvervsakademi Dania,Denmark,2016,5
9427,Erik Penser Bankaktiebolag,Sweden,2015,5
9428,Escola Superior de Teologia,Brazil,2016,5
9429,Escola de Farm<U+00E1>cia e Odontologia de Alfenas,Brazil,2014,5
9430,Escuela Comunicaci<U+00F3>n M<U+00F3>nica Herrera,El Salvador,2016,5
9431,Evangelische Hochschule Darmstadt,Germany,2016,5
9432,Exploration & Development Research Institute - Southwest Oil,China - People<U+2019>s Republic,2016,5
9433,Fraunhofer-Institut f<U+00FC>r Angewandte Informationstechnik,Germany,2014,5
9434,Fraunhofer-Institut f<U+00FC>r Angewandte Informationstechnik,Germany,2015,5
9435,Fraunhofer-Institut f<U+00FC>r Biomedizinische Technik,Germany,2016,5
9436,Fraunhofer-Institut f<U+00FC>r Intelligente Analyse- und Informationssysteme,Germany,2015,5
9437,Free Intl University of Moldova,Moldova - Republic of,2014,5
9438,Funda<U+00E7><U+00E3>o Universidade do Rio Grande,Brazil,2014,5
9439,Fundacao de Amparo A Pesquisa Do Estado de Sao Paulo,Brazil,2014,5
9440,G<U+00FC>m<U+00FC>shane <U+00DC>niversitesi,Turkey,2016,5
9441,GEW Hauptvorstand,Germany,2016,5
9442,Gesellschaft f<U+00FC>r Anlagen- und Reaktorsicherheit,Germany,2014,5
9443,Guangdong Institute Of Scientific and Technical Information,Japan,2016,5
9444,Hamro Manawata Library,Nepal,2016,5
9445,Hastings College of the Law Library,United States,2014,5
9446,IF Metall,Sweden,2014,5
9447,IIB Bank,Ireland,2014,5
9448,IUCN,Switzerland,2015,5
9449,Indian Institute of Management - Shillong,India,2014,5
9450,Institute of Finance Management Library,Tanzania - United Republic of,2014,5
9451,Instituto Agron<U+00F4>mico de Campinas,Brazil,2015,5
9452,Instituto Federal Catarinense,Brazil,2015,5
9453,Instituto Federal do Tri<U+00E2>ngulo Mineiro,Brazil,2016,5
9454,Instituto Nacional de Pesquisas da Amaz<U+00F4>nia,Brazil,2014,5
9455,Instituto de Assist. M<U+00E9>dica Ao Servidor P<U+00FA>blico Estadual,Brazil,2016,5
9456,Integrated Polytechnic Regional Centre - IPRC East,Rwanda,2016,5
9457,International IDEA,Sweden,2014,5
9458,Jacobs Consultancy Uk Ltd,United Kingdom,2014,5
9459,John E. Robbins Library - Brandon University,Canada,2014,5
9460,KOITA,Korea - Republic of,2015,5
9461,KYOTO GAKUEN UNIVERSITY LIBRARY,Japan,2015,5
9462,Kenya Institute of Management,Kenya,2014,5
9463,Kirklareli Universitesi,Turkey,2016,5
9464,Koninklijke Bibliotheek Nederland,Netherlands,2014,5
9465,Korea Tourism Organisation,Korea - Republic of,2015,5
9466,LEK Consulting LLP,United Kingdom,2016,5
9467,Lantmannen EK FOR,Sweden,2016,5
9468,Lebanon Valley College,United States,2014,5
9469,Leibniz-Institut f<U+00FC>r Agrartechnik Potsdam-Bornim e.V.,Germany,2014,5
9470,MPOB (Malaysian Palm Oil Board),Malaysia,2014,5
9471,Meliksah Universitesi,Turkey,2016,5
9472,Memorial Library,United States,2015,5
9473,Meru University of Science and Technology,Kenya,2014,5
9474,Mevlana Universitesi,Turkey,2016,5
9475,Miles Conway,United States,2014,5
9476,Millersville University,United States,2014,5
9477,Ministry of Education and Research,Estonia,2014,5
9478,Moravian College,United States,2016,5
9479,Morgan Stanley,United Kingdom,2014,5
9480,Munich Reinsurance Company,Germany,2015,5
9481,Murang'a University College,Kenya,2014,5
9482,National Australia Bank Limited,Australia,2015,5
9483,National Bank of Cambodia,Cambodia,2014,5
9484,National Center of Science,Kazakhstan,2016,5
9485,National Council for Curriculum and Assessment,Ireland,2015,5
9486,National Press Club,United States,2015,5
9487,National Taipei College of Business,Chinese Taipei,2014,5
9488,National Tokyo Medical Center,Japan,2016,5
9489,Netanya Academic College,Israel,2016,5
9490,Nikkei Digital Media Inc,France,2016,5
9491,Nordea Bank AB,Sweden,2015,5
9492,OSAKA GAKUIN UNIVERSITY,Japan,2016,5
9493,Office of Atoms for Peace Library,Thailand,2015,5
9494,Olabisi Onabanjo University,Nigeria,2015,5
9495,PIASS,Rwanda,2015,5
9496,Parliamentary Library - Legislative Yuan,Chinese Taipei,2014,5
9497,Peace Palace Library,Netherlands,2014,5
9498,Petrogal - s.a.,Portugal,2014,5
9499,Polytechnics Canada,Canada,2015,5
9500,Pontif<U+00ED>cia Universidade Cat<U+00F3>lica de Campinas,Brazil,2014,5
9501,Pour Un Sourire D'Enfant PSE,Cambodia,2015,5
9502,Procter & Gamble Services Compan,Belgium,2015,5
9503,RHODES COLLEGE,United States,2014,5
9504,Raja,France,2016,5
9505,SOCIETE GENERALE,France,2014,5
9506,Saitama University Library,Japan,2014,5
9507,Sardar Patel Institute of Economic and Social Research,India,2015,5
9508,Saudi Fund for Development,Saudi Arabia,2014,5
9509,School of Economics and Business,Bosnia and Herzegovina,2016,5
9510,Shanghai Advanced Research Institute - CAS,China - People<U+2019>s Republic,2016,5
9511,Shanghai University Of Finance & Economics Library,China - People<U+2019>s Republic,2014,5
9512,Shmuel Neaman Institute,Israel,2016,5
9513,Simmons College,United States,2014,5
9514,Southwestern Law School,United States,2016,5
9515,St. Francis Xavier Univ.,Canada,2014,5
9516,State Library of Western Australia,Australia,2015,5
9517,Sun Yat-Sen University Library,China - People<U+2019>s Republic,2015,5
9518,Sydbank,Denmark,2014,5
